,Households with Snap,Total Households,GEOID,Pct_hh_snap,No Health Under 19,No Health 19to34,No Health 35to64,No Health 65 plus,Total Population,No Health,Pct_noHealthInsurance,Income Inequality (GINI Index),Under 25,Total 25 to 44,45 to 64,Population with Internet Access,Pct_internet,Rent Occupied housing units,rent_combined,pct_rentBurdenend,Population with Access to Transportation,Pct_transportAccess,Population with Access to Devices,Pct_deviceAccess,White Alone Population,Pct_minority,Civilian Force Unemployed,Total Civilian Force,Unemployment Rate,Male 18 to 24,HS Grad Male 18 to 24,Female 18 to 24,HS Grad Female 18 to 24,HS Grad,18to24 Population,Pct_HsGrad,Pct_NonHsGrad,Non Native,Pct_nonNative,Pct_hh_snap_binned,Pct_hh_snap_bin_range,Pct_noHealthInsurance_binned,Pct_noHealthInsurance_bin_range,Income Inequality (GINI Index)_binned,Income Inequality (GINI Index)_bin_range,Pct_internet_binned,Pct_internet_bin_range,pct_rentBurdenend_binned,pct_rentBurdenend_bin_range,Pct_transportAccess_binned,Pct_transportAccess_bin_range,Pct_deviceAccess_binned,Pct_deviceAccess_bin_range,Pct_minority_binned,Pct_minority_bin_range,Unemployment Rate_binned,Unemployment Rate_bin_range,Pct_HsGrad_binned,Pct_HsGrad_bin_range,Pct_NonHsGrad_binned,Pct_NonHsGrad_bin_range,Pct_nonNative_binned,Pct_nonNative_bin_range
0,132,2536,10001040100,5.21,5,84,172,0,7343,261,3.55,0.3641,85181.0,73672.0,76375.0,2342,31.89,355,68,19.15,3243,44.16,501,6.82,5962,18.81,227,3558,6.38,142,125,241,66,191,383,49.87,50.13,1008,13.73,1.0,4.29-8.52,1.0,2.58-4.75,0.0,0.28-0.37,0.0,0.0-32.09,0.0,0.0-32.08,1.0,42.22-46.67,2.0,5.27-7.3,1.0,18.46-36.0,2.0,4.62-7.35,2.0,35.8-52.22,1.0,47.78-64.2,1.0,11.33-24.5
1,193,1895,10001040201,10.18,0,257,73,0,5132,330,6.43,0.3758,86452.0,93681.0,50917.0,1817,35.41,596,174,29.19,2604,50.74,274,5.34,3040,40.76,211,2852,7.4,182,132,154,11,143,336,42.56,57.44,1668,32.5,2.0,8.52-15.79,2.0,4.75-7.69,1.0,0.37-0.41,1.0,32.09-35.78,0.0,0.0-32.08,2.0,46.67-51.37,2.0,5.27-7.3,2.0,36.0-51.87,3.0,7.35-25.68,2.0,35.8-52.22,1.0,47.78-64.2,2.0,24.5-39.14
2,328,2145,10001040203,15.29,64,166,115,0,5415,345,6.37,0.4373,95489.0,74712.0,63029.0,1880,34.72,512,276,53.91,2304,42.55,464,8.57,2519,53.48,48,2491,1.93,157,45,118,44,89,275,32.36,67.64,2534,46.8,2.0,8.52-15.79,2.0,4.75-7.69,2.0,0.41-0.45,1.0,32.09-35.78,2.0,44.84-56.92,1.0,42.22-46.67,3.0,7.3-25.24,3.0,51.87-97.75,0.0,0.0-2.6,1.0,21.04-35.8,2.0,64.2-78.96,3.0,39.14-94.26
3,388,1862,10001040204,20.84,38,73,97,73,6265,281,4.49,0.2869,92431.0,111442.0,77879.0,1769,28.24,252,55,21.83,2950,47.09,368,5.87,3297,47.37,205,3128,6.55,151,32,189,106,138,340,40.59,59.41,2094,33.42,3.0,15.79-47.28,1.0,2.58-4.75,0.0,0.28-0.37,0.0,0.0-32.09,0.0,0.0-32.08,2.0,46.67-51.37,2.0,5.27-7.3,2.0,36.0-51.87,2.0,4.62-7.35,2.0,35.8-52.22,1.0,47.78-64.2,2.0,24.5-39.14
4,244,1870,10001040205,13.05,0,152,9,0,4857,161,3.31,0.3322,63383.0,64318.0,37188.0,1714,35.29,639,339,53.05,2444,50.32,364,7.49,2531,47.89,188,2632,7.14,234,85,105,0,85,339,25.07,74.93,2145,44.16,2.0,8.52-15.79,1.0,2.58-4.75,0.0,0.28-0.37,1.0,32.09-35.78,2.0,44.84-56.92,2.0,46.67-51.37,3.0,7.3-25.24,2.0,36.0-51.87,2.0,4.62-7.35,1.0,21.04-35.8,2.0,64.2-78.96,3.0,39.14-94.26
5,116,2758,10001040206,4.21,69,51,367,66,7807,553,7.08,0.2957,115573.0,103417.0,87243.0,2584,33.1,94,0,0.0,3658,46.86,79,1.01,3787,51.49,36,3780,0.95,294,120,261,201,321,555,57.84,42.16,3618,46.34,0.0,0.0-4.29,2.0,4.75-7.69,0.0,0.28-0.37,1.0,32.09-35.78,0.0,0.0-32.08,2.0,46.67-51.37,0.0,0.0-3.02,2.0,36.0-51.87,0.0,0.0-2.6,3.0,52.22-100.0,0.0,0.0-47.78,3.0,39.14-94.26
6,333,1978,10001040501,16.84,14,153,143,0,4777,310,6.49,0.3868,58851.0,73750.0,60729.0,1704,35.67,549,305,55.56,2145,44.9,314,6.57,2467,48.36,214,2507,8.54,199,17,201,43,60,400,15.0,85.0,1787,37.41,3.0,15.79-47.28,2.0,4.75-7.69,1.0,0.37-0.41,1.0,32.09-35.78,2.0,44.84-56.92,1.0,42.22-46.67,2.0,5.27-7.3,2.0,36.0-51.87,3.0,7.35-25.68,0.0,0.0-21.04,3.0,78.96-100.0,2.0,24.5-39.14
7,122,1086,10001040502,11.23,51,121,119,9,2647,300,11.33,0.4362,92000.0,72500.0,55192.0,986,37.25,307,190,61.89,1162,43.9,220,8.31,1263,52.29,147,1318,11.15,83,11,102,79,90,185,48.65,51.35,1104,41.71,2.0,8.52-15.79,3.0,7.69-30.05,2.0,0.41-0.45,2.0,35.78-40.2,3.0,56.92-100.0,1.0,42.22-46.67,3.0,7.3-25.24,3.0,51.87-97.75,3.0,7.35-25.68,2.0,35.8-52.22,1.0,47.78-64.2,3.0,39.14-94.26
8,425,2241,10001040700,18.96,21,74,77,21,5417,193,3.56,0.407,,77344.0,83654.0,1938,35.78,839,491,58.52,1803,33.28,215,3.97,2456,54.66,398,2360,16.86,73,20,169,11,31,242,12.81,87.19,2413,44.54,3.0,15.79-47.28,1.0,2.58-4.75,1.0,0.37-0.41,1.0,32.09-35.78,3.0,56.92-100.0,0.0,16.51-42.22,1.0,3.02-5.27,3.0,51.87-97.75,3.0,7.35-25.68,0.0,0.0-21.04,3.0,78.96-100.0,3.0,39.14-94.26
9,221,1073,10001040900,20.6,0,43,25,0,2334,68,2.91,0.4775,61818.0,85159.0,24327.0,749,32.09,807,356,44.11,1048,44.9,150,6.43,1321,43.4,20,984,2.03,270,11,357,42,53,627,8.45,91.55,795,34.06,3.0,15.79-47.28,1.0,2.58-4.75,3.0,0.45-0.59,0.0,0.0-32.09,1.0,32.08-44.84,1.0,42.22-46.67,2.0,5.27-7.3,2.0,36.0-51.87,0.0,0.0-2.6,0.0,0.0-21.04,3.0,78.96-100.0,2.0,24.5-39.14
